feature,coefficient,absolute_importance
num__credit_history_years,0.5333364714642946,0.5333364714642946
num__annual_income,0.4321326588011945,0.4321326588011945
num__missed_payments_12m,-0.324507722304353,0.324507722304353
num__debt_to_income,-0.3214801462112678,0.3214801462112678
num__prior_default,-0.2683875167241064,0.2683875167241064
cat__product_type_personal,-0.13948262895662325,0.13948262895662325
cat__product_type_home_improvement,0.12395856824022972,0.12395856824022972
num__employment_years,0.09014620463265385,0.09014620463265385
num__loan_amount,0.044038473729383625,0.044038473729383625
num__age,0.04336355482835296,0.04336355482835296
