applicant_id,jurisdiction,protected_group,predicted_repayment_probability,approved,rejection_reasons
A00-00000,US,Minority,0.1117253175853419,0,High debt-to-income ratio; Recent missed payments; Prior default indicator
A00-00001,EU,Majority,0.457388015051188,0,Model score below approval threshold; no single dominant rule-based reason
A00-00002,EU,Minority,0.2630289042765733,0,Prior default indicator
A00-00003,EU,Minority,0.5118410184430492,0,High debt-to-income ratio; Recent missed payments
A00-00004,US,Majority,0.4075485511179949,0,Model score below approval threshold; no single dominant rule-based reason
A00-00005,US,Minority,0.293754908719834,0,High debt-to-income ratio
A00-00006,EU,Minority,0.2725016609570145,0,Recent missed payments
A00-00008,US,Majority,0.44522776223031835,0,High debt-to-income ratio; Recent missed payments
A00-00009,EU,Majority,0.13594240582858627,0,Limited credit history; Prior default indicator
A00-00011,US,Minority,0.4020368598167073,0,Recent missed payments
A00-00013,US,Minority,0.4684224401424617,0,Limited credit history
A00-00017,US,Majority,0.3994183022882757,0,High debt-to-income ratio
A00-00018,US,Minority,0.43719614858645267,0,Model score below approval threshold; no single dominant rule-based reason
A00-00019,US,Majority,0.1891552371983766,0,Recent missed payments; Limited credit history; Requested loan amount is high relative to income
A00-00020,US,Minority,0.21762496663382316,0,Recent missed payments; Prior default indicator; Requested loan amount is high relative to income
A00-00021,EU,Majority,0.37363876414720754,0,Recent missed payments; Requested loan amount is high relative to income
A00-00022,US,Minority,0.24775716671337547,0,Limited credit history
A00-00023,EU,Minority,0.11119974151613844,0,High debt-to-income ratio; Recent missed payments; Limited credit history
A00-00024,EU,Minority,0.48108910921378994,0,Model score below approval threshold; no single dominant rule-based reason
A00-00026,EU,Majority,0.34949088523507116,0,Limited credit history; Prior default indicator
