applicant_id,monitoring_month,jurisdiction,protected_group,age,annual_income,employment_years,debt_to_income,credit_history_years,missed_payments_12m,prior_default,loan_amount,product_type,actual_repaid,true_repayment_probability,predicted_repayment_probability,approved
A00-00000,0,US,Minority,27,78727.67,4.99,0.462,4.61,3,1,25247.8,auto,0,0.1197,0.1117253175853419,0
A00-00001,0,EU,Majority,33,86506.52,3.45,0.419,5.47,1,0,29587.36,personal,1,0.5111,0.457388015051188,0
A00-00002,0,EU,Minority,42,75219.35,4.44,0.288,5.16,1,1,10508.88,auto,0,0.326,0.2630289042765733,0
A00-00003,0,EU,Minority,32,77625.48,5.3,0.439,10.02,2,0,27295.46,auto,0,0.5271,0.5118410184430492,0
A00-00004,0,US,Majority,36,64099.99,6.63,0.308,4.77,1,0,31530.93,personal,0,0.4208,0.4075485511179949,0
A00-00005,0,US,Minority,44,57612.73,5.55,0.538,6.88,1,0,25739.22,personal,0,0.3224,0.293754908719834,0
A00-00006,0,EU,Minority,35,49186.46,5.49,0.359,5.59,2,0,21819.45,auto,0,0.2987,0.2725016609570145,0
A00-00007,0,EU,Minority,41,64686.85,7.35,0.02,10.38,1,0,50844.88,auto,1,0.7139,0.8072752530680695,1
A00-00008,0,US,Majority,57,58469.93,5.92,0.437,11.89,2,0,13700.32,personal,1,0.4483,0.44522776223031835,0
A00-00009,0,EU,Majority,37,60271.74,9.77,0.275,1.16,1,1,20325.09,personal,1,0.156,0.13594240582858627,0
A00-00010,0,US,Majority,52,79898.11,5.93,0.297,12.68,1,0,36466.1,auto,1,0.7423,0.782470073062323,1
A00-00011,0,US,Minority,45,84006.25,13.36,0.415,4.66,2,0,18122.71,personal,1,0.4617,0.4020368598167073,0
A00-00012,0,US,Majority,23,76066.94,3.16,0.159,9.45,1,0,18161.48,home_improvement,1,0.7261,0.727198464304813,1
A00-00013,0,US,Minority,27,95592.0,4.94,0.384,3.34,1,0,33287.05,personal,1,0.5313,0.4684224401424617,0
A00-00014,0,US,Majority,30,55095.2,4.01,0.394,9.98,0,0,30067.96,auto,0,0.5802,0.5587349360471557,1
A00-00015,0,EU,Majority,30,33578.48,6.78,0.374,18.71,1,0,27254.18,home_improvement,1,0.5823,0.6989612841531833,1
A00-00016,0,US,Majority,38,82077.93,3.16,0.258,9.01,1,0,29243.46,personal,1,0.6594,0.6558184317027178,1
A00-00017,0,US,Majority,46,53835.16,2.28,0.449,6.66,0,0,20295.52,auto,1,0.4728,0.3994183022882757,0
A00-00018,0,US,Minority,53,56299.85,3.56,0.255,6.17,1,0,26205.51,personal,0,0.4354,0.43719614858645267,0
A00-00019,0,US,Majority,42,34873.87,2.4,0.255,2.62,2,0,24554.23,auto,0,0.1988,0.1891552371983766,0
A00-00020,0,US,Minority,34,44415.01,5.35,0.359,12.9,3,1,30206.09,home_improvement,0,0.1264,0.21762496663382316,0
A00-00021,0,EU,Majority,21,39957.68,6.62,0.365,9.75,2,0,29949.2,home_improvement,0,0.3023,0.37363876414720754,0
A00-00022,0,US,Minority,40,53248.24,2.05,0.336,2.9,1,0,16868.69,personal,0,0.3119,0.24775716671337547,0
A00-00023,0,EU,Minority,39,54003.52,4.76,0.522,3.03,4,0,33568.43,home_improvement,0,0.0857,0.11119974151613844,0
A00-00024,0,EU,Minority,41,63209.25,10.5,0.41,7.16,1,0,10401.6,home_improvement,0,0.5168,0.48108910921378994,0
A00-00025,0,US,Majority,62,92054.74,12.18,0.339,12.23,0,0,27274.64,personal,1,0.84,0.844561373502775,1
A00-00026,0,EU,Majority,53,81361.22,9.01,0.361,3.9,0,1,20838.77,home_improvement,1,0.3527,0.34949088523507116,0
A00-00027,0,EU,Majority,48,37678.78,1.0,0.418,12.95,1,0,16013.49,personal,0,0.4166,0.41649330900774617,0
A00-00028,0,EU,Majority,28,80052.29,6.28,0.359,8.13,1,0,43733.73,home_improvement,1,0.5677,0.6412235466393627,1
A00-00029,0,EU,Minority,33,63623.34,11.17,0.158,3.38,1,0,13937.49,home_improvement,0,0.5558,0.5262927520977105,0
A00-00030,0,EU,Minority,38,59641.3,4.47,0.506,5.23,0,0,17745.2,auto,1,0.4591,0.3514363220510797,0
A00-00031,0,EU,Minority,30,61068.71,2.71,0.389,14.09,1,0,29424.98,personal,1,0.5847,0.6118342428938769,1
A00-00032,0,EU,Majority,45,72386.5,10.71,0.412,2.95,3,1,23899.47,home_improvement,0,0.1002,0.12182940526767354,0
A00-00033,0,US,Majority,43,55354.15,11.59,0.281,5.57,0,1,25941.96,personal,1,0.2665,0.27135359854972396,0
A00-00034,0,EU,Majority,27,65035.33,5.89,0.111,12.31,2,0,35350.36,personal,1,0.6232,0.6988469531643665,1
A00-00035,0,EU,Majority,52,90994.84,2.72,0.057,9.37,0,0,35563.53,personal,1,0.8436,0.8598553518650042,1
A00-00036,0,EU,Majority,40,55125.79,1.87,0.217,5.34,2,0,22462.63,personal,0,0.3399,0.33088150794193094,0
A00-00037,0,US,Majority,21,48932.13,7.17,0.392,12.36,1,0,23088.91,personal,0,0.4993,0.49544318268205484,0
A00-00038,0,US,Majority,38,67327.56,4.03,0.486,12.55,1,0,33983.97,personal,0,0.5255,0.5542671536801433,1
A00-00039,0,US,Majority,42,47019.24,5.68,0.366,9.83,1,0,32621.75,home_improvement,1,0.4219,0.5076768471286404,0
A00-00040,0,US,Majority,50,35767.12,5.33,0.204,6.05,1,0,26625.69,home_improvement,0,0.3591,0.4256992544395196,0
A00-00041,0,US,Minority,35,54955.12,3.44,0.281,5.27,4,1,28880.18,home_improvement,0,0.0636,0.09942424857788158,0
A00-00042,0,US,Minority,48,89023.82,1.8,0.538,8.24,1,0,28166.99,auto,0,0.5732,0.5226491226339111,0
A00-00043,0,US,Majority,41,67766.52,4.54,0.173,3.25,2,0,23394.05,auto,0,0.4423,0.40919653619283547,0
A00-00044,0,US,Minority,25,64892.96,6.42,0.627,12.41,1,0,24010.73,auto,0,0.5108,0.4654105336947333,0
A00-00045,0,US,Minority,23,21027.18,6.59,0.6,13.9,1,0,31185.22,auto,1,0.2778,0.3044546788888315,0
A00-00046,0,EU,Majority,51,76824.38,3.88,0.586,7.56,0,0,31172.47,home_improvement,0,0.5216,0.5252321599186955,0
A00-00047,0,US,Majority,52,70273.95,11.46,0.376,9.92,4,0,8899.26,personal,0,0.3624,0.36100209028160835,0
A00-00048,0,US,Minority,43,48866.62,2.91,0.334,11.84,2,0,17858.87,home_improvement,1,0.4364,0.496687573194803,0
A00-00049,0,US,Majority,55,71920.96,0.8,0.373,16.32,1,0,23973.54,home_improvement,1,0.7306,0.7913011939840502,1
A00-00050,0,US,Majority,51,71732.31,10.04,0.439,14.73,1,0,21358.74,personal,0,0.692,0.704741517864313,1
A00-00051,0,US,Majority,47,48369.73,6.3,0.252,1.56,1,1,35769.45,home_improvement,0,0.1127,0.15364483614022684,0
A00-00052,0,EU,Minority,29,67805.22,4.57,0.243,5.84,1,0,54821.44,home_improvement,1,0.4546,0.5810050916166405,1
A00-00053,0,EU,Majority,58,91245.57,7.7,0.296,10.5,1,0,8977.75,personal,1,0.7832,0.7387880183646808,1
A00-00054,0,US,Minority,45,57169.11,5.14,0.282,5.12,2,0,28166.24,personal,1,0.3148,0.32431949573840513,0
A00-00055,0,EU,Minority,35,45015.71,2.26,0.524,14.23,0,0,26945.78,auto,1,0.5535,0.5474068424171545,0
A00-00056,0,US,Majority,32,65125.98,2.77,0.256,15.02,0,1,22090.02,auto,1,0.5833,0.6044022695560807,1
A00-00057,0,US,Majority,42,84737.65,4.95,0.341,5.24,2,0,29591.7,personal,1,0.4497,0.43452073672614744,0
A00-00058,0,US,Majority,21,45199.94,4.21,0.448,7.85,1,0,24926.85,personal,0,0.3147,0.2855775048258767,0
A00-00059,0,US,Majority,47,79492.61,9.91,0.484,5.5,3,0,22629.27,auto,0,0.342,0.3124175510182266,0
A00-00060,0,EU,Majority,29,55617.73,4.09,0.355,7.72,2,0,25162.89,personal,0,0.3324,0.3267464593505671,0
A00-00061,0,EU,Majority,43,73099.2,3.94,0.376,7.6,3,0,30464.29,personal,1,0.3221,0.3487053148793796,0
A00-00062,0,EU,Majority,33,57777.71,3.62,0.208,12.32,2,0,29613.94,personal,0,0.5286,0.589203470843965,1
A00-00063,0,US,Minority,36,50726.68,3.43,0.498,3.55,4,0,26816.75,home_improvement,0,0.0915,0.109430907717783,0
A00-00064,0,EU,Majority,31,97438.8,3.5,0.482,0.5,0,0,22819.79,personal,0,0.5303,0.3792132004415633,0
A00-00065,0,US,Majority,37,41727.35,2.5,0.106,2.08,0,0,50103.1,auto,1,0.3881,0.4359573618702863,0
A00-00066,0,US,Majority,60,77721.96,6.45,0.542,4.39,2,0,27159.65,auto,0,0.3347,0.30222463961360096,0
A00-00067,0,US,Majority,54,101395.16,5.4,0.246,5.88,6,0,33036.93,home_improvement,0,0.2778,0.39591895614856965,0
A00-00068,0,EU,Majority,43,81524.92,5.27,0.401,9.25,4,0,18684.78,home_improvement,1,0.3653,0.4139201694246017,0
A00-00069,0,EU,Majority,39,43209.16,1.95,0.339,4.18,0,0,24733.35,home_improvement,1,0.3649,0.36014832315909295,0
A00-00070,0,US,Majority,48,44149.97,7.33,0.323,3.66,0,0,27221.02,auto,0,0.4092,0.37167323422608534,0
A00-00071,0,EU,Majority,51,54219.12,7.75,0.305,4.78,0,0,11498.03,personal,0,0.5134,0.42680373364258356,0
A00-00072,0,EU,Minority,30,64500.25,13.01,0.256,2.64,2,0,18881.51,personal,0,0.3707,0.32150716205658564,0
A00-00073,0,EU,Majority,38,72792.91,7.51,0.393,6.28,0,0,19676.8,personal,1,0.5992,0.5176366277192544,0
